date,expiry,strike,best_bid,best_offer
20130830,20150117,320.0,525.3,528.8
20130830,20150117,340.0,505.8,509.2
20130830,20150117,350.0,496.0,499.2
20130830,20150117,360.0,486.3,489.4
20130830,20150117,370.0,476.5,479.7
20130830,20150117,380.0,466.7,469.9
20130830,20150117,390.0,457.0,460.2
20130830,20150117,400.0,447.3,450.7
20130830,20150117,410.0,437.6,440.9
20130830,20150117,420.0,428.1,431.4
20130830,20150117,430.0,418.4,421.7
20130830,20150117,440.0,408.9,412.2
20130830,20150117,450.0,399.3,402.7
20130830,20150117,460.0,389.9,393.7
20130830,20150117,470.0,380.6,383.9
20130830,20150117,480.0,371.1,374.6
20130830,20150117,490.0,361.9,365.4
20130830,20150117,500.0,352.8,356.0
20130830,20150117,510.0,343.5,346.9
20130830,20150117,520.0,334.4,337.8
20130830,20150117,530.0,325.4,328.7
20130830,20150117,540.0,316.2,319.7
20130830,20150117,550.0,307.6,310.9
20130830,20150117,560.0,298.8,302.1
20130830,20150117,570.0,290.1,294.2
20130830,20150117,580.0,281.7,284.8
20130830,20150117,590.0,273.2,276.5
20130830,20150117,600.0,264.8,268.0
20130830,20150117,610.0,256.6,259.8
20130830,20150117,620.0,248.6,251.6
20130830,20150117,630.0,240.4,243.6
20130830,20150117,640.0,232.8,235.7
20130830,20150117,650.0,224.9,228.0
20130830,20150117,660.0,217.2,220.3
20130830,20150117,670.0,209.9,212.7
20130830,20150117,680.0,202.3,205.4
20130830,20150117,690.0,195.1,198.1
20130830,20150117,700.0,188.1,191.0
20130830,20150117,710.0,181.1,184.1
20130830,20150117,720.0,174.2,177.3
20130830,20150117,730.0,167.6,170.6
20130830,20150117,735.0,164.4,167.4
20130830,20150117,740.0,161.1,164.1
20130830,20150117,745.0,157.9,160.9
20130830,20150117,750.0,154.8,157.8
20130830,20150117,755.0,151.6,154.6
20130830,20150117,760.0,148.6,151.6
20130830,20150117,765.0,145.5,148.5
20130830,20150117,770.0,142.6,145.5
20130830,20150117,775.0,139.5,142.5
20130830,20150117,780.0,137.0,139.6
20130830,20150117,785.0,133.7,136.7
20130830,20150117,790.0,131.3,133.8
20130830,20150117,795.0,128.5,131.0
20130830,20150117,800.0,125.3,128.3
20130830,20150117,805.0,123.0,125.5
20130830,20150117,810.0,120.0,122.8
20130830,20150117,815.0,117.2,120.4
20130830,20150117,820.0,114.7,117.6
20130830,20150117,825.0,112.4,115.0
20130830,20150117,830.0,109.7,112.5
20130830,20150117,835.0,107.3,110.0
20130830,20150117,840.0,104.8,107.6
20130830,20150117,845.0,102.4,105.2
20130830,20150117,850.0,100.0,102.8
20130830,20150117,855.0,97.7,100.5
20130830,20150117,860.0,96.1,97.9
20130830,20150117,865.0,93.7,95.9
20130830,20150117,870.0,90.9,93.5
20130830,20150117,875.0,88.7,91.7
20130830,20150117,880.0,86.6,89.6
20130830,20150117,885.0,85.5,86.9
20130830,20150117,890.0,83.3,84.8
20130830,20150117,895.0,81.7,82.6
20130830,20150117,900.0,79.7,80.7
20130830,20150117,910.0,75.3,76.8
20130830,20150117,920.0,72.0,73.5
20130830,20150117,930.0,68.7,69.6
20130830,20150117,940.0,65.3,66.2
20130830,20150117,950.0,62.0,62.9
20130830,20150117,960.0,58.8,61.1
20130830,20150117,970.0,55.9,56.8
20130830,20150117,980.0,53.0,54.0
20130830,20150117,990.0,50.3,51.8
20130830,20150117,1000.0,47.5,49.9
20130830,20150117,1010.0,45.0,47.3
20130830,20150117,1020.0,42.3,43.7
20130830,20150117,1030.0,40.4,41.8
20130830,20150117,1040.0,37.9,39.7
20130830,20150117,1050.0,36.4,37.2
20130830,20150117,1060.0,34.4,35.0
20130830,20150117,1070.0,32.2,33.7
20130830,20150117,1080.0,30.2,31.6
20130830,20150117,1090.0,28.8,30.6
20130830,20150117,1100.0,27.2,28.2
20130830,20150117,1110.0,25.8,27.2
20130830,20150117,1120.0,24.4,25.4
20130830,20150117,1130.0,22.8,24.7
20130830,20150117,1140.0,21.2,22.8
20130830,20150117,1150.0,19.7,21.7
20130830,20150117,1160.0,19.2,20.9
20130830,20150117,1170.0,18.3,20.0
20130830,20150117,1180.0,17.3,18.7
20130830,20150117,1190.0,16.1,17.7
20130830,20150117,1200.0,15.3,16.3
20130830,20150117,1210.0,14.2,15.3
20130830,20150117,1220.0,13.6,14.5
20130830,20150117,1230.0,12.8,13.7
20130830,20150117,1240.0,12.1,13.2
20130830,20150117,1250.0,10.3,13.7
20130830,20150117,1260.0,9.8,12.0
20130830,20150117,1270.0,8.7,11.6
20130830,20150117,1280.0,8.2,11.7
20130830,20150117,1290.0,7.6,11.0
20130830,20150117,1300.0,7.2,10.5
20130830,20150117,1310.0,6.6,10.0
20130830,20150117,1320.0,6.1,9.5
20130830,20150117,1330.0,5.7,9.0
20130830,20150117,1340.0,5.3,8.6
20130830,20150117,1350.0,5.7,8.2
20130830,20150117,1360.0,5.5,7.8
20130830,20150117,1370.0,5.2,7.4
