date,expiry,strike,best_bid,best_offer
20130830,20150117,320.0,0.9,2.0
20130830,20150117,340.0,0.15,2.3
20130830,20150117,350.0,0.8,2.45
20130830,20150117,360.0,0.6,2.65
20130830,20150117,370.0,0.65,2.85
20130830,20150117,380.0,1.2,3.0
20130830,20150117,390.0,1.1,3.3
20130830,20150117,400.0,1.4,3.6
20130830,20150117,410.0,1.7,3.6
20130830,20150117,420.0,2.05,4.0
20130830,20150117,430.0,2.45,4.5
20130830,20150117,440.0,2.8,5.0
20130830,20150117,450.0,3.2,5.0
20130830,20150117,460.0,3.5,6.0
20130830,20150117,470.0,4.0,6.8
20130830,20150117,480.0,4.5,7.4
20130830,20150117,490.0,5.2,8.0
20130830,20150117,500.0,7.1,8.9
20130830,20150117,510.0,6.8,9.4
20130830,20150117,520.0,7.7,10.7
20130830,20150117,530.0,9.8,11.2
20130830,20150117,540.0,9.7,12.5
20130830,20150117,550.0,10.8,13.4
20130830,20150117,560.0,12.0,14.7
20130830,20150117,570.0,13.3,16.0
20130830,20150117,580.0,14.7,17.4
20130830,20150117,590.0,17.5,18.4
20130830,20150117,600.0,19.0,19.9
20130830,20150117,610.0,20.7,21.8
20130830,20150117,620.0,22.2,23.8
20130830,20150117,630.0,24.2,25.1
20130830,20150117,640.0,26.4,27.2
20130830,20150117,650.0,28.5,29.3
20130830,20150117,660.0,30.7,32.0
20130830,20150117,670.0,33.4,34.3
20130830,20150117,680.0,35.8,37.2
20130830,20150117,690.0,38.4,39.6
20130830,20150117,700.0,41.5,42.4
20130830,20150117,710.0,44.5,45.5
20130830,20150117,720.0,47.5,48.8
20130830,20150117,730.0,51.0,52.4
20130830,20150117,735.0,52.7,53.6
20130830,20150117,740.0,54.3,55.3
20130830,20150117,745.0,55.6,57.3
20130830,20150117,750.0,57.4,58.9
20130830,20150117,755.0,59.9,61.3
20130830,20150117,760.0,61.4,62.9
20130830,20150117,765.0,63.3,64.6
20130830,20150117,770.0,65.5,66.8
20130830,20150117,775.0,67.3,68.6
20130830,20150117,780.0,69.6,70.7
20130830,20150117,785.0,71.3,74.0
20130830,20150117,790.0,73.9,74.9
20130830,20150117,795.0,75.8,77.0
20130830,20150117,800.0,78.0,80.0
20130830,20150117,805.0,80.5,81.5
20130830,20150117,810.0,82.2,84.5
20130830,20150117,815.0,84.9,86.5
20130830,20150117,820.0,87.2,88.6
20130830,20150117,825.0,89.3,91.8
20130830,20150117,830.0,92.3,93.2
20130830,20150117,835.0,94.4,95.8
20130830,20150117,840.0,97.1,98.3
20130830,20150117,845.0,99.9,100.9
20130830,20150117,850.0,101.8,104.0
20130830,20150117,855.0,104.8,106.1
20130830,20150117,860.0,107.2,110.1
20130830,20150117,865.0,110.5,112.2
20130830,20150117,870.0,112.8,114.4
20130830,20150117,875.0,116.1,117.3
20130830,20150117,880.0,119.0,120.1
20130830,20150117,885.0,121.7,123.7
20130830,20150117,890.0,124.5,126.7
20130830,20150117,895.0,127.7,128.9
20130830,20150117,900.0,130.7,132.1
20130830,20150117,910.0,136.6,139.0
20130830,20150117,920.0,143.0,144.7
20130830,20150117,930.0,149.4,150.7
20130830,20150117,940.0,155.5,157.4
20130830,20150117,950.0,162.7,164.1
20130830,20150117,960.0,169.2,172.1
20130830,20150117,970.0,175.6,178.1
20130830,20150117,980.0,182.7,185.2
20130830,20150117,990.0,189.9,192.5
20130830,20150117,1000.0,197.3,200.0
20130830,20150117,1010.0,204.7,207.3
20130830,20150117,1020.0,212.3,215.1
20130830,20150117,1030.0,220.0,223.2
20130830,20150117,1040.0,227.8,230.7
20130830,20150117,1050.0,235.7,239.1
20130830,20150117,1060.0,243.8,247.2
20130830,20150117,1070.0,251.9,255.1
20130830,20150117,1080.0,260.1,263.8
20130830,20150117,1090.0,268.3,271.8
20130830,20150117,1100.0,276.7,280.1
20130830,20150117,1110.0,285.2,288.4
20130830,20150117,1120.0,293.7,297.0
20130830,20150117,1130.0,302.3,305.4
20130830,20150117,1140.0,311.0,314.0
20130830,20150117,1150.0,319.8,322.9
20130830,20150117,1160.0,328.6,331.7
20130830,20150117,1170.0,337.5,341.0
20130830,20150117,1180.0,346.5,350.0
20130830,20150117,1190.0,355.5,359.2
20130830,20150117,1200.0,364.7,367.4
20130830,20150117,1210.0,373.8,377.0
20130830,20150117,1220.0,383.0,386.4
20130830,20150117,1230.0,392.2,395.0
20130830,20150117,1240.0,401.6,404.9
20130830,20150117,1250.0,410.9,414.0
20130830,20150117,1260.0,420.2,423.7
20130830,20150117,1270.0,429.6,432.4
20130830,20150117,1280.0,439.1,442.4
20130830,20150117,1290.0,448.4,451.4
20130830,20150117,1300.0,458.0,460.9
20130830,20150117,1310.0,467.4,470.3
20130830,20150117,1320.0,476.8,479.9
20130830,20150117,1330.0,486.5,489.6
20130830,20150117,1340.0,496.1,499.3
20130830,20150117,1350.0,505.8,508.7
20130830,20150117,1360.0,515.0,518.9
20130830,20150117,1370.0,525.0,528.2
